Canal;Transportadora;UF Origem;Centro;Cli - Nome;NFe;NFe - Dt E;    NFe - Vlr;Cli - Cidade;UF Destino;Resp.Agend;Ocorrências;Prev. Entr;Dt .Agenda;Status;Cli -  Age;Nº Documen
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;LOJAS AVENIDA S/A;000230619-1;04.12.2024;18.900,01;Cuiabá;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12692552
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;RAIA DROGASIL S/A;000230627-1;04.12.2024;54.788,66;Manaus;AM;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12693005
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;RAIA DROGASIL S/A;000230636-1;04.12.2024;11.277,82;Primavera do Leste;MT;;900-EMISSÃO DE NOTA FISCAL;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12693652
40 - Totaline BR;MODULAR TRANSPORTES LTDA;PE;B154;LEONARDO KREWER;000013637-1;04.12.2024;1.766,42;Florianópolis;SC;;900-EMISSÃO DE NOTA FISCAL;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12693658
40 - Totaline BR;ANEG TRANSPORTES LTDA;SP;B142;RAIA DROGASIL S/A;000230641-1;04.12.2024;54.519,91;São Paulo;SP;;900-EMISSÃO DE NOTA FISCAL;03.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12693894
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CARREFOUR COMERCIO E INDUSTRIA LTDA;000799434-4;04.12.2024;162.709,91;Osasco;SP;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;09.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12694315
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;CARREFOUR COMERCIO E INDUSTRIA LTDA;000799436-4;04.12.2024;28.995,24;Osasco;SP;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;09.12.2024;13.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12694317
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;CONGREGACAO CRISTA NO BRASIL;000230660-1;04.12.2024;7.460,00;Comodoro;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12694589
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SC;B121;ZETANET C. E S. LTDA - MICROEMPRESA;000799805-4;04.12.2024;804,06;Brochier;RS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12695067
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B119;LOJAS CEM S/A;000052442-1;04.12.2024;213.546,69;Salto;SP;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12695963
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B119;LOJAS CEM S/A;000052444-1;04.12.2024;213.546,69;Salto;SP;Grupo B;900-EMISSÃO DE NOTA FISCAL;10.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12695966
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SC;B121;PROMIL PROMOTORA DE VENDAS LTDA;000800294-4;05.12.2024;930;Feira de Santana;BA;;900-EMISSÃO DE NOTA FISCAL;05.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12697116
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;RAIA DROGASIL S/A;000230683-1;05.12.2024;12.311,52;Rondonópolis;MT;;900-EMISSÃO DE NOTA FISCAL;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12697640
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B142;RAIA DROGASIL S/A;000230685-1;05.12.2024;12.311,52;Sorriso;MT;;900-EMISSÃO DE NOTA FISCAL;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12697654
40 - Totaline BR;ANEG TRANSPORTES LTDA;SP;B142;VICTOR NICOLA MOTA CALABRIA;000230693-1;05.12.2024;45.728,69;São Paulo;SP;;900-EMISSÃO DE NOTA FISCAL;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12698061
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B143;CLIMATEC COMERCIO E SERV. LTDA;000212947-1;05.12.2024;1.091,83;Macapá;AP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;30.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12698096
40 - Totaline BR;MODULAR TRANSPORTES LTDA;PE;B154;AIR LIQUIDE BRASIL LTDA;000013652-1;05.12.2024;2.507,69;Cabo de Santo Agostinho;PE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;06.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12698986
